Day,start_time_program,trial_latency_behav_end,Box,Date,Replicate,Vial_number,Activity,court_duration,Temp,Humidity,BP 12:00 am,BP 8:00 Am,BP Room,Video_Initition,Observation Initiation,Video_End
115,12:52:48,345,A,11,2,1,c,13,25,25,99.8,99.3,997,0,0,1023
115,12:53:06,354,A,11,2,1,c,3,25,25,99.8,99.3,997,0,0,1023
115,12:52:57,357,A,11,2,4,c,16,25,25,99.8,99.3,997,0,144,1023
115,12:53:11,368,A,11,2,1,c,13,25,25,99.8,99.3,997,0,0,1023
115,12:53:39,401,A,11,2,1,c,18,25,25,99.8,99.3,997,0,0,1023
115,12:53:27,406,A,11,2,2,c,34,25,25,99.8,99.3,997,0,56,1023
115,12:53:16,423,A,11,2,4,c,63,25,25,99.8,99.3,997,0,144,1023
115,12:54:14,432,A,11,2,1,c,13,25,25,99.8,99.3,997,0,0,1023
115,12:54:02,434,A,11,2,2,c,28,25,25,99.8,99.3,997,0,56,1023
115,12:54:42,451,A,11,2,2,c,4,25,25,99.8,99.3,997,0,56,1023
115,12:54:57,467,A,11,2,1,c,5,25,25,99.8,99.3,997,0,0,1023
115,12:54:22,495,A,11,2,4,c,69,25,25,99.8,99.3,997,0,144,1023
115,12:55:26,502,A,11,2,2,c,11,25,25,99.8,99.3,997,0,56,1023
115,12:55:40,507,A,11,2,1,c,2,25,25,99.8,99.3,997,0,0,1023
115,12:55:45,511,A,11,2,3,c,1,25,25,99.8,99.3,997,0,96,1023
115,12:55:33,518,A,11,2,4,c,23,25,25,99.8,99.3,997,0,144,1023
115,12:55:49,523,A,11,2,2,c,9,25,25,99.8,99.3,997,0,56,1023
115,12:56:02,527,A,11,2,3,c,1,25,25,99.8,99.3,997,0,96,1023
115,12:56:27,554,A,11,2,1,c,4,25,25,99.8,99.3,997,0,0,1023
115,12:57:09,595,A,11,2,1,c,2,25,25,99.8,99.3,997,0,0,1023
115,12:57:05,616,A,11,2,2,c,28,25,25,99.8,99.3,997,0,56,1023
115,12:57:38,629,A,11,2,2,c,7,25,25,99.8,99.3,997,0,56,1023
115,12:58:04,652,A,11,2,2,c,4,25,25,99.8,99.3,997,0,56,1023
115,12:58:17,694,A,11,2,1,c,32,25,25,99.8,99.3,997,0,0,1023
115,12:58:28,696,A,11,2,2,c,23,25,25,99.8,99.3,997,0,56,1023
115,12:58:54,712,A,11,2,2,c,14,25,25,99.8,99.3,997,0,56,1023
115,12:59:30,737,A,11,2,3,c,3,25,25,99.8,99.3,997,0,96,1023
115,12:59:27,739,A,11,2,2,c,7,25,25,99.8,99.3,997,0,56,1023
115,12:59:42,777,A,11,2,2,c,31,25,25,99.8,99.3,997,0,56,1023
115,13:00:32,798,A,11,2,2,c,2,25,25,99.8,99.3,997,0,56,1023
115,13:00:38,805,A,11,2,3,c,3,25,25,99.8,99.3,997,0,96,1023
115,13:00:50,820,A,11,2,2,c,6,25,25,99.8,99.3,997,0,56,1023
115,13:01:04,851,A,11,2,2,c,23,25,25,99.8,99.3,997,0,56,1023
115,13:01:07,859,A,11,2,1,c,27,25,25,99.8,99.3,997,0,0,1023
115,12:56:00,872,A,11,2,4,c,348,25,25,99.8,99.3,997,0,144,1023
115,13:01:31,876,A,11,2,2,c,23,25,25,99.8,99.3,997,0,56,1023
115,13:01:55,897,A,11,2,2,c,18,25,25,99.8,99.3,997,0,56,1023
115,13:02:02,902,A,11,2,1,c,15,25,25,99.8,99.3,997,0,0,1023
115,13:02:16,934,A,11,2,2,c,34,25,25,99.8,99.3,997,0,56,1023
115,13:02:33,945,A,11,2,1,c,28,25,25,99.8,99.3,997,0,0,1023
115,13:02:04,1021,A,11,2,4,c,140,25,25,99.8,99.3,997,0,144,1023
115,14:09:57,68,A,11,3,1,c,14,25,25,99.8,99.3,997,0,0,1130
115,14:10:22,81,A,11,3,1,c,3,25,25,99.8,99.3,997,0,0,1130
115,14:10:34,102,A,11,3,1,c,12,25,25,99.8,99.3,997,0,0,1130
115,14:10:53,123,A,11,3,3,c,13,25,25,99.8,99.3,997,0,88,1130
115,14:11:16,146,A,11,3,2,c,13,25,25,99.8,99.3,997,0,51,1130
115,14:10:57,164,A,11,3,1,c,50,25,25,99.8,99.3,997,0,0,1130
115,14:11:50,168,A,11,3,3,c,1,25,25,99.8,99.3,997,0,88,1130
115,14:12:03,190,A,11,3,1,c,11,25,25,99.8,99.3,997,0,0,1130
115,14:12:12,205,A,11,3,4,c,16,25,25,99.8,99.3,997,0,142,1130
115,14:12:26,207,A,11,3,1,c,5,25,25,99.8,99.3,997,0,0,1130
115,14:12:51,231,A,11,3,1,c,3,25,25,99.8,99.3,997,0,0,1130
115,14:13:08,252,A,11,3,4,c,8,25,25,99.8,99.3,997,0,142,1130
115,14:13:03,254,A,11,3,1,c,14,25,25,99.8,99.3,997,0,0,1130
115,14:13:28,275,A,11,3,1,c,10,25,25,99.8,99.3,997,0,0,1130
115,14:12:42,277,A,11,3,3,c,58,25,25,99.8,99.3,997,0,88,1130
115,14:14:42,340,A,11,3,1,c,3,25,25,99.8,99.3,997,0,0,1130
115,14:14:47,353,A,11,3,1,c,9,25,25,99.8,99.3,997,0,0,1130
115,14:15:16,374,A,11,3,1,c,2,25,25,99.8,99.3,997,0,0,1130
115,14:14:36,375,A,11,3,3,c,43,25,25,99.8,99.3,997,0,88,1130
115,14:15:21,378,A,11,3,2,c,1,25,25,99.8,99.3,997,0,51,1130
115,14:15:11,381,A,11,3,4,c,14,25,25,99.8,99.3,997,0,142,1130
115,14:15:46,404,A,11,3,2,c,1,25,25,99.8,99.3,997,0,51,1130
115,14:15:40,409,A,11,3,1,c,12,25,25,99.8,99.3,997,0,0,1130
115,14:15:56,417,A,11,3,4,c,4,25,25,99.8,99.3,997,0,142,1130
115,14:16:08,430,A,11,3,3,c,6,25,25,99.8,99.3,997,0,88,1130
115,14:16:12,432,A,11,3,4,c,4,25,25,99.8,99.3,997,0,142,1130
115,14:16:19,439,A,11,3,3,c,4,25,25,99.8,99.3,997,0,88,1130
115,14:16:28,465,A,11,3,3,c,21,25,25,99.8,99.3,997,0,88,1130
115,14:16:09,466,A,11,3,1,c,41,25,25,99.8,99.3,997,0,0,1130
115,14:16:57,475,A,11,3,4,c,3,25,25,99.8,99.3,997,0,142,1130
115,14:16:53,484,A,11,3,1,c,15,25,25,99.8,99.3,997,0,0,1130
115,14:17:06,501,A,11,3,2,c,19,25,25,99.8,99.3,997,0,51,1130
115,14:17:56,536,A,11,3,3,c,4,25,25,99.8,99.3,997,0,88,1130
115,14:17:58,546,A,11,3,2,c,11,25,25,99.8,99.3,997,0,51,1130
115,14:17:45,554,A,11,3,1,c,33,25,25,99.8,99.3,997,0,0,1130
115,14:18:08,557,A,11,3,3,c,12,25,25,99.8,99.3,997,0,88,1130
115,14:18:16,560,A,11,3,4,c,8,25,25,99.8,99.3,997,0,142,1130
115,14:18:40,588,A,11,3,1,c,12,25,25,99.8,99.3,997,0,0,1130
115,14:18:22,589,A,11,3,2,c,32,25,25,99.8,99.3,997,0,51,1130
115,14:18:50,597,A,11,3,4,c,10,25,25,99.8,99.3,997,0,142,1130
115,14:19:04,607,A,11,3,3,c,6,25,25,99.8,99.3,997,0,88,1130
115,14:19:07,610,A,11,3,2,c,7,25,25,99.8,99.3,997,0,51,1130
115,14:20:17,676,A,11,3,3,c,4,25,25,99.8,99.3,997,0,88,1130
115,14:20:23,682,A,11,3,1,c,4,25,25,99.8,99.3,997,0,0,1130
115,14:20:24,701,A,11,3,2,c,20,25,25,99.8,99.3,997,0,51,1130
115,14:20:42,702,A,11,3,1,c,3,25,25,99.8,99.3,997,0,0,1130
115,14:20:16,704,A,11,3,4,c,31,25,25,99.8,99.3,997,0,142,1130
115,14:20:54,752,A,11,3,4,c,42,25,25,99.8,99.3,997,0,142,1130
115,14:21:33,774,A,11,3,1,c,25,25,25,99.8,99.3,997,0,0,1130
115,14:22:07,785,A,11,3,3,c,2,25,25,99.8,99.3,997,0,88,1130
115,14:22:01,789,A,11,3,2,c,11,25,25,99.8,99.3,997,0,51,1130
115,14:22:45,823,A,11,3,1,c,2,25,25,99.8,99.3,997,0,0,1130
115,14:22:51,831,A,11,3,1,c,5,25,25,99.8,99.3,997,0,0,1130
115,14:22:48,836,A,11,3,4,c,11,25,25,99.8,99.3,997,0,142,1130
115,14:23:01,840,A,11,3,1,c,3,25,25,99.8,99.3,997,0,0,1130
115,14:23:28,870,A,11,3,4,c,6,25,25,99.8,99.3,997,0,142,1130
115,14:23:43,883,A,11,3,1,c,3,25,25,99.8,99.3,997,0,0,1130
115,14:23:57,897,A,11,3,3,c,4,25,25,99.8,99.3,997,0,88,1130
115,14:24:26,924,A,11,3,3,c,1,25,25,99.8,99.3,997,0,88,1130
115,14:23:59,926,A,11,3,4,c,31,25,25,99.8,99.3,997,0,142,1130
115,14:24:32,931,A,11,3,3,c,3,25,25,99.8,99.3,997,0,88,1130
115,14:24:38,938,A,11,3,4,c,4,25,25,99.8,99.3,997,0,142,1130
115,14:24:33,941,A,11,3,1,c,11,25,25,99.8,99.3,997,0,0,1130
115,14:24:53,954,A,11,3,1,c,4,25,25,99.8,99.3,997,0,0,1130
115,14:25:15,993,A,11,3,4,c,24,25,25,99.8,99.3,997,0,142,1130
115,14:26:19,1039,A,11,3,4,c,7,25,25,99.8,99.3,997,0,142,1130
115,14:26:22,1047,A,11,3,1,c,9,25,25,99.8,99.3,997,0,0,1130
115,14:26:34,1067,A,11,3,1,c,16,25,25,99.8,99.3,997,0,0,1130
115,14:27:13,1093,A,11,3,1,c,4,25,25,99.8,99.3,997,0,0,1130
115,14:27:03,1108,A,11,3,4,c,29,25,25,99.8,99.3,997,0,142,1130
115,14:27:14,1131,A,11,3,3,c,41,25,25,99.8,99.3,997,0,88,1130
115,14:41:20,34,A,12,1,1,c,1,25,23,100,100.5,1009,0,0,1069
115,14:42:39,114,A,12,1,1,c,2,25,23,100,100.5,1009,0,0,1069
115,14:44:19,217,A,12,1,1,c,5,25,23,100,100.5,1009,0,0,1069
115,14:45:10,268,A,12,1,1,c,4,25,23,100,100.5,1009,0,0,1069
115,14:45:53,310,A,12,1,1,c,3,25,23,100,100.5,1009,0,0,1069
115,14:46:52,367,A,12,1,3,c,3,25,23,100,100.5,1009,0,133,1069
115,14:47:51,428,A,12,1,2,c,4,25,23,100,100.5,1009,0,69,1069
115,14:48:38,475,A,12,1,4,c,4,25,23,100,100.5,1009,0,189,1069
115,14:49:35,535,A,12,1,3,c,7,25,23,100,100.5,1009,0,133,1069
115,14:49:58,564,A,12,1,3,c,13,25,23,100,100.5,1009,0,133,1069
115,14:51:14,637,A,12,1,3,c,10,25,23,100,100.5,1009,0,133,1069
115,14:52:11,695,A,12,1,3,c,10,25,23,100,100.5,1009,0,133,1069
115,14:52:26,701,A,12,1,3,c,2,25,23,100,100.5,1009,0,133,1069
115,14:54:27,824,A,12,1,1,c,4,25,23,100,100.5,1009,0,0,1069
115,14:55:17,873,A,12,1,3,c,3,25,23,100,100.5,1009,0,133,1069
115,14:58:01,1064,A,12,1,2,c,32,25,23,100,100.5,1009,0,69,1069
115,17:05:07,53,A,12,2,1,c,9,25,23,100,100.5,1009,0,0,1349
115,17:06:35,173,A,12,2,2,c,42,25,23,100,100.5,1009,0,86,1349
115,17:07:13,185,A,12,2,1,c,16,25,23,100,100.5,1009,0,0,1349
115,17:07:49,226,A,12,2,1,c,21,25,23,100,100.5,1009,0,0,1349
115,17:07:26,243,A,12,2,2,c,61,25,23,100,100.5,1009,0,86,1349
115,17:08:34,262,A,12,2,2,c,12,25,23,100,100.5,1009,0,86,1349
115,17:09:16,294,A,12,2,3,c,2,25,23,100,100.5,1009,0,176,1349
115,17:10:12,350,A,12,2,4,c,2,25,23,100,100.5,1009,0,226,1349
115,17:10:34,385,A,12,2,3,c,15,25,23,100,100.5,1009,0,176,1349
115,17:09:00,408,A,12,2,1,c,132,25,23,100,100.5,1009,0,0,1349
115,17:08:58,418,A,12,2,2,c,144,25,23,100,100.5,1009,0,86,1349
115,17:11:02,427,A,12,2,4,c,28,25,23,100,100.5,1009,0,226,1349
115,17:11:34,435,A,12,2,3,c,5,25,23,100,100.5,1009,0,176,1349
115,17:11:53,452,A,12,2,3,c,4,25,23,100,100.5,1009,0,176,1349
115,17:11:49,455,A,12,2,1,c,10,25,23,100,100.5,1009,0,0,1349
115,17:12:02,463,A,12,2,4,c,4,25,23,100,100.5,1009,0,226,1349
115,17:12:15,477,A,12,2,3,c,6,25,23,100,100.5,1009,0,176,1349
115,17:11:25,496,A,12,2,2,c,75,25,23,100,100.5,1009,0,86,1349
115,17:12:43,505,A,12,2,2,c,6,25,23,100,100.5,1009,0,86,1349
115,17:12:54,520,A,12,2,1,c,10,25,23,100,100.5,1009,0,0,1349
115,17:12:56,523,A,12,2,4,c,11,25,23,100,100.5,1009,0,226,1349
115,17:13:08,546,A,12,2,1,c,21,25,23,100,100.5,1009,0,0,1349
115,17:13:27,574,A,12,2,2,c,31,25,23,100,100.5,1009,0,86,1349
115,17:14:06,612,A,12,2,2,c,30,25,23,100,100.5,1009,0,86,1349
115,17:14:33,614,A,12,2,4,c,6,25,23,100,100.5,1009,0,226,1349
115,17:14:43,623,A,12,2,4,c,3,25,23,100,100.5,1009,0,226,1349
115,17:13:45,629,A,12,2,1,c,68,25,23,100,100.5,1009,0,0,1349
115,17:14:51,647,A,12,2,2,c,20,25,23,100,100.5,1009,0,86,1349
115,17:15:04,654,A,12,2,4,c,13,25,23,100,100.5,1009,0,226,1349
115,17:15:14,658,A,12,2,1,c,9,25,23,100,100.5,1009,0,0,1349
115,17:15:19,666,A,12,2,4,c,11,25,23,100,100.5,1009,0,226,1349
115,17:15:26,690,A,12,2,2,c,28,25,23,100,100.5,1009,0,86,1349
115,17:14:49,697,A,12,2,3,c,72,25,23,100,100.5,1009,0,176,1349
115,17:15:35,699,A,12,2,1,c,28,25,23,100,100.5,1009,0,0,1349
115,17:16:09,707,A,12,2,2,c,2,25,23,100,100.5,1009,0,86,1349
115,17:16:37,738,A,12,2,1,c,4,25,23,100,100.5,1009,0,0,1349
115,17:16:40,761,A,12,2,2,c,25,25,23,100,100.5,1009,0,86,1349
115,17:17:00,765,A,12,2,4,c,9,25,23,100,100.5,1009,0,226,1349
115,17:17:03,769,A,12,2,1,c,9,25,23,100,100.5,1009,0,0,1349
115,17:17:07,787,A,12,2,2,c,24,25,23,100,100.5,1009,0,86,1349
115,17:17:21,796,A,12,2,4,c,19,25,23,100,100.5,1009,0,226,1349
115,17:17:35,813,A,12,2,2,c,21,25,23,100,100.5,1009,0,86,1349
115,17:18:04,826,A,12,2,2,c,8,25,23,100,100.5,1009,0,86,1349
115,17:18:15,834,A,12,2,1,c,3,25,23,100,100.5,1009,0,0,1349
115,17:17:59,835,A,12,2,4,c,20,25,23,100,100.5,1009,0,226,1349
115,17:18:23,845,A,12,2,1,c,6,25,23,100,100.5,1009,0,0,1349
115,17:18:40,866,A,12,2,4,c,10,25,23,100,100.5,1009,0,226,1349
115,17:18:58,879,A,12,2,2,c,5,25,23,100,100.5,1009,0,86,1349
115,17:19:01,888,A,12,2,3,c,11,25,23,100,100.5,1009,0,176,1349
115,17:19:18,898,A,12,2,2,c,3,25,23,100,100.5,1009,0,86,1349
115,17:19:29,918,A,12,2,1,c,13,25,23,100,100.5,1009,0,0,1349
115,17:19:22,926,A,12,2,3,c,28,25,23,100,100.5,1009,0,176,1349
115,17:20:25,972,A,12,2,4,c,10,25,23,100,100.5,1009,0,226,1349
115,17:20:27,990,A,12,2,3,c,26,25,23,100,100.5,1009,0,176,1349
115,17:20:46,991,A,12,2,2,c,11,25,23,100,100.5,1009,0,86,1349
115,17:21:46,1044,A,12,2,2,c,2,25,23,100,100.5,1009,0,86,1349
115,17:21:43,1054,A,12,2,4,c,14,25,23,100,100.5,1009,0,226,1349
115,17:22:05,1063,A,12,2,4,c,2,25,23,100,100.5,1009,0,226,1349
115,17:22:22,1094,A,12,2,2,c,16,25,23,100,100.5,1009,0,86,1349
115,17:22:44,1106,A,12,2,3,c,6,25,23,100,100.5,1009,0,176,1349
115,17:22:57,1130,A,12,2,1,c,17,25,23,100,100.5,1009,0,0,1349
115,17:23:35,1156,A,12,2,1,c,5,25,23,100,100.5,1009,0,0,1349
115,17:23:42,1162,A,12,2,1,c,3,25,23,100,100.5,1009,0,0,1349
115,17:22:48,1164,A,12,2,2,c,60,25,23,100,100.5,1009,0,86,1349
115,17:23:51,1189,A,12,2,4,c,22,25,23,100,100.5,1009,0,226,1349
115,17:24:11,1191,A,12,2,2,c,4,25,23,100,100.5,1009,0,86,1349
115,17:24:18,1203,A,12,2,3,c,8,25,23,100,100.5,1009,0,176,1349
115,17:24:19,1222,A,12,2,2,c,27,25,23,100,100.5,1009,0,86,1349
115,17:24:50,1228,A,12,2,4,c,2,25,23,100,100.5,1009,0,226,1349
115,17:24:56,1238,A,12,2,2,c,7,25,23,100,100.5,1009,0,86,1349
115,17:25:11,1250,A,12,2,4,c,3,25,23,100,100.5,1009,0,226,1349
115,17:25:33,1281,A,12,2,3,c,13,25,23,100,100.5,1009,0,176,1349
115,17:25:20,1284,A,12,2,2,c,32,25,23,100,100.5,1009,0,86,1349
116,10:34:35,77,A,12,3,1,c,4,25,23,100,100.5,1009,0,0,1251
116,10:34:51,90,A,12,3,1,c,3,25,23,100,100.5,1009,0,0,1251
116,10:35:49,150,A,12,3,1,c,4,25,23,100,100.5,1009,0,0,1251
116,10:36:15,180,A,12,3,2,c,8,25,23,100,100.5,1009,0,54,1251
116,10:36:40,199,A,12,3,1,c,2,25,23,100,100.5,1009,0,0,1251
116,10:36:48,212,A,12,3,2,c,6,25,23,100,100.5,1009,0,54,1251
116,10:36:57,224,A,12,3,2,c,10,25,23,100,100.5,1009,0,54,1251
116,10:37:29,249,A,12,3,1,c,3,25,23,100,100.5,1009,0,0,1251
116,10:38:29,321,A,12,3,2,c,15,25,23,100,100.5,1009,0,54,1251
116,10:39:01,353,A,12,3,2,c,15,25,23,100,100.5,1009,0,54,1251
116,10:39:20,364,A,12,3,2,c,7,25,23,100,100.5,1009,0,54,1251
116,10:39:30,369,A,12,3,2,c,2,25,23,100,100.5,1009,0,54,1251
116,10:39:37,379,A,12,3,4,c,5,25,23,100,100.5,1009,0,271,1251
116,10:39:44,394,A,12,3,2,c,13,25,23,100,100.5,1009,0,54,1251
116,10:40:10,421,A,12,3,2,c,14,25,23,100,100.5,1009,0,54,1251
116,10:39:52,430,A,12,3,4,c,41,25,23,100,100.5,1009,0,271,1251
116,10:40:41,441,A,12,3,3,c,4,25,23,100,100.5,1009,0,218,1251
116,10:40:28,443,A,12,3,1,c,18,25,23,100,100.5,1009,0,0,1251
116,10:40:38,453,A,12,3,4,c,17,25,23,100,100.5,1009,0,271,1251
116,10:40:47,464,A,12,3,2,c,20,25,23,100,100.5,1009,0,54,1251
116,10:41:17,517,A,12,3,2,c,43,25,23,100,100.5,1009,0,54,1251
116,10:41:04,522,A,12,3,4,c,60,25,23,100,100.5,1009,0,271,1251
116,10:42:01,526,A,12,3,2,c,7,25,23,100,100.5,1009,0,54,1251
116,10:42:16,541,A,12,3,1,c,8,25,23,100,100.5,1009,0,0,1251
116,10:42:22,543,A,12,3,4,c,4,25,23,100,100.5,1009,0,271,1251
116,10:43:07,586,A,12,3,4,c,1,25,23,100,100.5,1009,0,271,1251
116,10:42:35,595,A,12,3,2,c,42,25,23,100,100.5,1009,0,54,1251
